"Feature.ID","row.m.z","row.retention.time","peaks","ADULT_1","ADULT_2","Adult_ave","NEONATE_1","NEONATE_2","Neonate_ave","Overall_ave","fold_change","X","match"
"641.329:18.5",641.3290405,18.47654167,4,6.6e+08,6.9e+08,6.8e+08,2.4e+09,2.4e+09,2.4e+09,1.5e+09,"-1.8",NA,""
"8672.7719:26.3",8672.771851,26.28429167,4,1.3e+09,1e+09,1.2e+09,1.3e+09,3.5e+08,8.3e+08,9.9e+08,"0.5",NA,"NEONATE_red_1_276;NEONATE_red_1_310;NEONATE_red_1_380;NEONATE_red_1_386;NEONATE_red_2_411;NEONATE_red_2_420;ADULT_red_1_260;NEONATE_red_2_401;NEONATE_red_1_274;NEONATE_red_2_271;NEONATE_red_1_314;NEONATE_red_1_377;ADULT_red_1_656;ADULT_red_1_432;ADULT_red_1_287;ADULT_red_1_464;NEONATE_red_1_365;NEONATE_red_2_405;NEONATE_red_2_412;ADULT_red_1_397;ADULT_red_1_415;ADULT_red_2_407;NEONATE_red_1_303;NEONATE_red_2_377;ADULT_red_1_584;NEONATE_red_2_300;NEONATE_red_1_267;NEONATE_red_2_374;ADULT_red_2_664;ADULT_red_2_402;ADULT_red_1_438;NEONATE_red_2_276;ADULT_red_2_415;NEONATE_red_1_282;NEONATE_red_2_283;NEONATE_red_2_384;ADULT_red_1_433;ADULT_red_1_560;ADULT_red_2_426;ADULT_red_2_536;ADULT_red_1_386;ADULT_red_1_440;ADULT_red_1_726;NEONATE_red_1_332;NEONATE_red_1_362;NEONATE_red_1_295;NEONATE_red_2_422;NEONATE_red_2_446;ADULT_red_1_552;ADULT_red_1_572;ADULT_red_1_804;ADULT_red_2_866;ADULT_red_2_548;ADULT_red_2_328;NEONATE_red_1_325;NEONATE_red_2_333;ADULT_red_1_643;NEONATE_red_2_314;ADULT_red_2_394;NEONATE_red_2_323;NEONATE_red_2_407;ADULT_red_1_524;ADULT_red_2_573;ADULT_red_1_344;ADULT_red_2_527;ADULT_red_1_383;ADULT_red_2_342;ADULT_red_1_309;ADULT_red_1_325;ADULT_red_1_332;ADULT_red_1_633;ADULT_red_1_815;ADULT_red_2_401;ADULT_red_2_484;ADULT_red_2_507;ADULT_red_2_775;ADULT_red_2_395;ADULT_red_2_442;ADULT_red_2_348;NEONATE_red_1_260;NEONATE_red_1_358;ADULT_red_1_323;NEONATE_red_2_326;NEONATE_red_2_313;ADULT_red_1_902;ADULT_red_2_293;ADULT_red_2_556;ADULT_red_2_326;ADULT_red_2_503;NEONATE_red_2_322;ADULT_red_1_509;ADULT_red_1_533;ADULT_red_2_438;ADULT_red_2_604;NEONATE_red_2_312;ADULT_red_1_324;NEONATE_red_2_337;ADULT_red_2_353;ADULT_red_1_316;ADULT_red_2_572;ADULT_red_1_391;ADULT_red_2_369;ADULT_red_2_543;ADULT_red_2_549;ADULT_red_2_939;ADULT_red_1_301;ADULT_red_2_341;ADULT_red_2_474;ADULT_red_2_555;NEONATE_red_2_366;ADULT_red_2_373;ADULT_red_2_445;ADULT_red_2_584;NEONATE_red_1_331;ADULT_red_1_510;ADULT_red_1_534;NEONATE_red_1_328;ADULT_red_1_371;ADULT_red_1_338;NEONATE_red_1_447;ADULT_red_1_335;ADULT_red_1_808;ADULT_red_2_564;ADULT_red_2_428;ADULT_red_1_458;ADULT_red_1_341;ADULT_red_1_800;ADULT_red_1_837;ADULT_red_2_902;ADULT_red_2_356;ADULT_red_1_365;ADULT_red_1_578;ADULT_red_2_801;ADULT_red_1_350;ADULT_red_2_327;ADULT_red_2_529;ADULT_red_2_766;ADULT_red_2_583;ADULT_red_1_306;NEONATE_red_1_398;ADULT_red_2_456;NEONATE_red_1_404;NEONATE_red_2_476;ADULT_red_2_493;NEONATE_red_2_343;ADULT_red_1_707;ADULT_red_2_387;ADULT_red_2_654;ADULT_red_2_927;ADULT_red_2_1065;ADULT_red_2_372;NEONATE_red_1_445;ADULT_red_1_492;ADULT_red_1_563;ADULT_red_1_825;ADULT_red_2_895;ADULT_red_1_792;ADULT_red_1_882"
"8203.6607:32.2",8203.66074,32.23258333,2,5.4e+08,3.9e+08,4.7e+08,1.8e+09,5e+08,1.2e+09,8.1e+08,"-1.3",NA,"NEONATE_red_1_470;NEONATE_red_1_585;NEONATE_red_2_766;NEONATE_red_1_598;NEONATE_red_1_607;NEONATE_red_1_613;NEONATE_red_2_667;NEONATE_red_1_605;NEONATE_red_1_533;NEONATE_red_1_624;NEONATE_red_1_549;NEONATE_red_1_770;NEONATE_red_2_829;NEONATE_red_2_651;NEONATE_red_2_794;NEONATE_red_1_525;NEONATE_red_1_589;NEONATE_red_1_724;NEONATE_red_1_574;NEONATE_red_1_615;NEONATE_red_2_815;NEONATE_red_2_618;NEONATE_red_1_606;NEONATE_red_1_631;NEONATE_red_1_642;NEONATE_red_1_614;NEONATE_red_2_614;NEONATE_red_1_622;NEONATE_red_2_684;NEONATE_red_1_604;NEONATE_red_2_701;NEONATE_red_2_730;NEONATE_red_1_540;NEONATE_red_1_597;NEONATE_red_1_714;NEONATE_red_1_783;NEONATE_red_2_610;NEONATE_red_2_700;NEONATE_red_2_752;NEONATE_red_2_892;NEONATE_red_2_819;NEONATE_red_1_649;NEONATE_red_1_749;NEONATE_red_1_767;NEONATE_red_1_796;NEONATE_red_2_705;NEONATE_red_2_736;NEONATE_red_1_690;NEONATE_red_2_558;NEONATE_red_2_638;NEONATE_red_1_726;NEONATE_red_2_757;NEONATE_red_1_599;NEONATE_red_1_680;NEONATE_red_1_764;NEONATE_red_2_567;NEONATE_red_2_628;NEONATE_red_1_731;NEONATE_red_1_817;NEONATE_red_1_529;NEONATE_red_1_539;NEONATE_red_1_475;NEONATE_red_2_484;NEONATE_red_2_696;NEONATE_red_1_771;NEONATE_red_1_797;NEONATE_red_1_819;NEONATE_red_2_626;NEONATE_red_2_828;NEONATE_red_1_712;NEONATE_red_1_745;NEONATE_red_1_759;NEONATE_red_2_760;NEONATE_red_2_562;NEONATE_red_1_728;NEONATE_red_1_736;NEONATE_red_1_795;NEONATE_red_2_674;NEONATE_red_2_743;NEONATE_red_1_678;NEONATE_red_2_622;NEONATE_red_1_651;NEONATE_red_2_552;ADULT_red_2_700;NEONATE_red_2_764;NEONATE_red_1_546;NEONATE_red_1_562;NEONATE_red_1_661;NEONATE_red_2_746;NEONATE_red_2_649;NEONATE_red_2_656;NEONATE_red_2_670;NEONATE_red_2_774;NEONATE_red_1_681;NEONATE_red_2_726;NEONATE_red_1_755;NEONATE_red_1_765;NEONATE_red_2_453;NEONATE_red_2_549;NEONATE_red_2_676;NEONATE_red_2_683;NEONATE_red_2_557;NEONATE_red_1_491;NEONATE_red_1_735;NEONATE_red_1_757;NEONATE_red_2_808;NEONATE_red_1_587;NEONATE_red_1_648;NEONATE_red_1_789;NEONATE_red_1_794;NEONATE_red_2_636;NEONATE_red_2_692;NEONATE_red_2_702;NEONATE_red_1_744;NEONATE_red_2_811;NEONATE_red_1_477;NEONATE_red_2_681;NEONATE_red_1_674;NEONATE_red_2_639;NEONATE_red_2_846;NEONATE_red_2_624;NEONATE_red_1_444;NEONATE_red_1_547;NEONATE_red_1_640;NEONATE_red_1_704;NEONATE_red_2_739;NEONATE_red_1_487;NEONATE_red_1_682;NEONATE_red_1_697;NEONATE_red_2_894;NEONATE_red_2_717;NEONATE_red_2_663;NEONATE_red_2_820;NEONATE_red_1_493;NEONATE_red_1_778;NEONATE_red_2_669;NEONATE_red_2_805;NEONATE_red_2_810;NEONATE_red_1_788;NEONATE_red_2_765;NEONATE_red_2_776;NEONATE_red_2_791;NEONATE_red_2_812;NEONATE_red_2_572;NEONATE_red_2_773;NEONATE_red_2_793;NEONATE_red_1_741;NEONATE_red_1_769;NEONATE_red_1_798;NEONATE_red_1_484;NEONATE_red_1_498;NEONATE_red_1_716;NEONATE_red_1_760;NEONATE_red_1_774;NEONATE_red_2_653;NEONATE_red_2_806;NEONATE_red_2_816;NEONATE_red_2_852;NEONATE_red_2_456;NEONATE_red_2_756;NEONATE_red_2_770;NEONATE_red_1_482;NEONATE_red_1_718;NEONATE_red_1_790;NEONATE_red_1_502;NEONATE_red_1_739;NEONATE_red_1_494;NEONATE_red_2_745;NEONATE_red_1_469;NEONATE_red_1_753;NEONATE_red_2_673;NEONATE_red_2_728;ADULT_red_1_593;ADULT_red_2_645;NEONATE_red_2_767;NEONATE_red_1_488;NEONATE_red_2_790;NEONATE_red_1_689;NEONATE_red_1_768;NEONATE_red_2_778;NEONATE_red_2_560;NEONATE_red_2_514;NEONATE_red_1_671;NEONATE_red_1_705;NEONATE_red_1_785;NEONATE_red_2_807;NEONATE_red_2_809;NEONATE_red_2_859;NEONATE_red_2_898;NEONATE_red_2_901;NEONATE_red_2_605;NEONATE_red_2_720;NEONATE_red_1_485;NEONATE_red_1_666;NEONATE_red_1_677;NEONATE_red_1_763;NEONATE_red_1_802;NEONATE_red_2_519;NEONATE_red_2_718;NEONATE_red_2_742;NEONATE_red_2_753;NEONATE_red_2_887;NEONATE_red_1_503;NEONATE_red_2_598;ADULT_red_1_609;NEONATE_red_2_744;NEONATE_red_2_695;ADULT_red_2_639;NEONATE_red_1_782;NEONATE_red_1_791;NEONATE_red_2_772;NEONATE_red_2_840;NEONATE_red_2_855;NEONATE_red_1_472;NEONATE_red_2_513;NEONATE_red_2_801;NEONATE_red_2_499;NEONATE_red_2_511;NEONATE_red_2_781;NEONATE_red_2_797;NEONATE_red_2_508;NEONATE_red_2_509;NEONATE_red_1_441;NEONATE_red_1_474;NEONATE_red_1_501;NEONATE_red_1_777;NEONATE_red_2_451;NEONATE_red_2_496;NEONATE_red_2_732;NEONATE_red_2_737;NEONATE_red_2_799;ADULT_red_2_637;ADULT_red_1_603;NEONATE_red_2_734;ADULT_red_1_611;NEONATE_red_2_452;NEONATE_red_2_486;NEONATE_red_2_498;NEONATE_red_2_833;ADULT_red_1_641;ADULT_red_2_644;NEONATE_red_2_800;ADULT_red_1_598;NEONATE_red_1_443;NEONATE_red_1_692;NEONATE_red_2_510;NEONATE_red_2_880;NEONATE_red_2_497;ADULT_red_1_594;ADULT_red_1_606;NEONATE_red_2_817;NEONATE_red_1_821;NEONATE_red_2_482;NEONATE_red_2_520;NEONATE_red_2_761;NEONATE_red_2_844;NEONATE_red_2_849;NEONATE_red_1_523;NEONATE_red_2_521;ADULT_red_1_607;ADULT_red_2_650;ADULT_red_2_648;NEONATE_red_2_526;NEONATE_red_2_830;NEONATE_red_1_815;NEONATE_red_2_710;NEONATE_red_2_836;NEONATE_red_2_847;NEONATE_red_2_893;ADULT_red_1_605;NEONATE_red_2_487;NEONATE_red_2_522;ADULT_red_2_683;NEONATE_red_2_834;ADULT_red_2_651;NEONATE_red_1_799;NEONATE_red_2_489;ADULT_red_2_649;NEONATE_red_2_457;NEONATE_red_2_475;NEONATE_red_2_786;ADULT_red_2_652;NEONATE_red_2_516;ADULT_red_2_640;ADULT_red_2_641;ADULT_red_1_612;ADULT_red_1_600;ADULT_red_1_596;NEONATE_red_2_886;NEONATE_red_1_756;NEONATE_red_2_854;NEONATE_red_2_878;NEONATE_red_1_333;NEONATE_red_2_843;NEONATE_red_1_357;NEONATE_red_2_368;NEONATE_red_1_361;NEONATE_red_1_347;NEONATE_red_1_350;NEONATE_red_2_357;NEONATE_red_1_369;NEONATE_red_1_354;NEONATE_red_2_353;NEONATE_red_2_387"
"8247.6268:26.9",8247.626831,26.94704167,4,8.5e+08,9.1e+08,8.8e+08,3.4e+08,3.2e+08,3.3e+08,6.1e+08,"1.4",NA,"ADULT_red_1_718;ADULT_red_2_928;ADULT_red_1_813;NEONATE_red_2_371;ADULT_red_1_435;ADULT_red_1_566;ADULT_red_1_700;NEONATE_red_1_402;ADULT_red_2_888;ADULT_red_1_413;ADULT_red_1_548;ADULT_red_1_558;NEONATE_red_1_339;NEONATE_red_1_337;ADULT_red_1_430;NEONATE_red_2_393;ADULT_red_1_521;ADULT_red_1_648;ADULT_red_1_836;ADULT_red_2_797;NEONATE_red_1_381;ADULT_red_1_796;ADULT_red_2_760;ADULT_red_1_570;NEONATE_red_2_408;NEONATE_red_1_363;ADULT_red_1_349;ADULT_red_1_423;ADULT_red_1_692;ADULT_red_1_721;ADULT_red_2_569;NEONATE_red_1_385;ADULT_red_2_449;ADULT_red_2_777;ADULT_red_1_420;ADULT_red_1_833;ADULT_red_2_692;ADULT_red_1_453;NEONATE_red_1_352;ADULT_red_1_411;NEONATE_red_2_346;ADULT_red_1_429;NEONATE_red_1_340;NEONATE_red_2_347;NEONATE_red_2_348;NEONATE_red_2_349;NEONATE_red_2_350;NEONATE_red_2_351;ADULT_red_1_468;ADULT_red_2_771;ADULT_red_1_491;NEONATE_red_1_342;ADULT_red_2_400;ADULT_red_2_526;ADULT_red_1_514;ADULT_red_2_739;ADULT_red_2_381;ADULT_red_2_840;NEONATE_red_2_404;ADULT_red_1_527;ADULT_red_1_575;ADULT_red_1_779;NEONATE_red_1_345;NEONATE_red_1_346;NEONATE_red_1_348;ADULT_red_2_524;ADULT_red_1_366;ADULT_red_2_455;ADULT_red_2_561;ADULT_red_2_616;ADULT_red_1_414;ADULT_red_2_619;NEONATE_red_2_339;ADULT_red_1_348;ADULT_red_1_408;ADULT_red_1_569;ADULT_red_2_537;ADULT_red_2_614;ADULT_red_2_709;ADULT_red_2_826;ADULT_red_2_691;ADULT_red_2_780;NEONATE_red_1_341;ADULT_red_2_398;ADULT_red_1_358;ADULT_red_1_359;ADULT_red_1_367;ADULT_red_1_445;ADULT_red_2_389;ADULT_red_2_828;NEONATE_red_2_364;ADULT_red_2_396;ADULT_red_2_542;ADULT_red_1_863;ADULT_red_2_465;ADULT_red_1_404;ADULT_red_1_728;ADULT_red_1_753;ADULT_red_2_384;ADULT_red_2_385;ADULT_red_2_386;ADULT_red_2_391;ADULT_red_2_392;ADULT_red_2_563;ADULT_red_2_574;ADULT_red_2_393;ADULT_red_1_520;ADULT_red_2_378;ADULT_red_2_562;ADULT_red_1_369;ADULT_red_1_361;ADULT_red_2_397;NEONATE_red_1_349;ADULT_red_1_866;ADULT_red_2_390;ADULT_red_2_550;ADULT_red_2_831;ADULT_red_2_962;NEONATE_red_2_356;ADULT_red_1_452;ADULT_red_1_472;ADULT_red_1_583;ADULT_red_1_809;ADULT_red_1_912;ADULT_red_2_835;NEONATE_red_1_355;ADULT_red_2_488;ADULT_red_2_571;ADULT_red_1_368;ADULT_red_1_354;NEONATE_red_2_358;ADULT_red_1_351;NEONATE_red_2_341;ADULT_red_1_442;ADULT_red_2_495;ADULT_red_2_577;ADULT_red_1_352;ADULT_red_2_382;ADULT_red_2_383;ADULT_red_2_404;ADULT_red_2_405;ADULT_red_2_491;NEONATE_red_2_403;ADULT_red_1_456;ADULT_red_1_487;ADULT_red_1_712;ADULT_red_1_897;ADULT_red_2_485;ADULT_red_2_628;ADULT_red_2_702;ADULT_red_2_795;ADULT_red_2_935;ADULT_red_1_823;ADULT_red_2_627;ADULT_red_2_804;ADULT_red_1_531;ADULT_red_2_505;ADULT_red_1_571;ADULT_red_1_876;ADULT_red_2_444;ADULT_red_2_525;ADULT_red_1_519;ADULT_red_1_556;ADULT_red_1_562;ADULT_red_1_774;ADULT_red_2_441;ADULT_red_2_875;ADULT_red_2_1068;ADULT_red_1_551;ADULT_red_1_355;ADULT_red_2_606;NEONATE_red_2_362;ADULT_red_1_353;ADULT_red_2_440;ADULT_red_1_469;ADULT_red_1_586;ADULT_red_1_688;ADULT_red_1_875;ADULT_red_2_530;ADULT_red_2_969;ADULT_red_2_812;ADULT_red_2_587;ADULT_red_2_553;ADULT_red_2_594;NEONATE_red_2_345;ADULT_red_1_500;ADULT_red_1_542;ADULT_red_2_860;ADULT_red_1_816;ADULT_red_2_566;ADULT_red_2_914;ADULT_red_2_949;ADULT_red_1_381;ADULT_red_2_379;ADULT_red_2_845;ADULT_red_2_424;ADULT_red_2_602;ADULT_red_1_522;NEONATE_red_2_355;ADULT_red_1_810;ADULT_red_2_575;ADULT_red_2_996;ADULT_red_2_467;ADULT_red_2_682;ADULT_red_1_459;ADULT_red_1_513;ADULT_red_1_496;ADULT_red_1_740;ADULT_red_1_844;ADULT_red_2_822;ADULT_red_2_965;ADULT_red_2_487;ADULT_red_2_883;ADULT_red_2_936;ADULT_red_2_380;ADULT_red_1_579;ADULT_red_2_581;ADULT_red_1_564;ADULT_red_1_750;ADULT_red_1_652;ADULT_red_1_733;ADULT_red_1_746;ADULT_red_2_837;ADULT_red_2_862;ADULT_red_2_980;ADULT_red_2_1079;ADULT_red_1_406;ADULT_red_2_466;ADULT_red_2_590;ADULT_red_2_657;ADULT_red_2_586;ADULT_red_2_977;ADULT_red_2_988;ADULT_red_1_546;ADULT_red_1_620;ADULT_red_1_880;ADULT_red_1_841;ADULT_red_1_888;ADULT_red_2_625;ADULT_red_2_600;ADULT_red_2_847;ADULT_red_2_1002;ADULT_red_1_462;ADULT_red_2_481;ADULT_red_1_577;ADULT_red_1_477;ADULT_red_1_582;ADULT_red_1_881"
"8374.6587:33.9",8374.658691,33.878,2,1.1e+09,4.1e+08,7.6e+08,4.4e+08,1.1e+08,2.8e+08,5.2e+08,"1.5",NA,"NEONATE_red_1_617;NEONATE_red_1_638;ADULT_red_1_867;ADULT_red_1_917;ADULT_red_2_1084;NEONATE_red_1_629;ADULT_red_2_929;ADULT_red_2_942;NEONATE_red_1_609;ADULT_red_2_938;ADULT_red_2_765;ADULT_red_1_701;ADULT_red_2_1072;NEONATE_red_1_668;ADULT_red_1_916;NEONATE_red_2_556;ADULT_red_2_1070;NEONATE_red_1_591;NEONATE_red_2_668;NEONATE_red_2_897;NEONATE_red_1_621;ADULT_red_2_1077;NEONATE_red_1_595;NEONATE_red_1_616;NEONATE_red_1_561;ADULT_red_1_729;ADULT_red_1_835;NEONATE_red_2_551;NEONATE_red_2_724;ADULT_red_2_1054;NEONATE_red_1_610;NEONATE_red_2_678;NEONATE_red_2_704;NEONATE_red_2_661;NEONATE_red_1_551;NEONATE_red_1_603;ADULT_red_1_694;ADULT_red_2_782;ADULT_red_2_813;ADULT_red_1_927;ADULT_red_2_993;ADULT_red_1_737;ADULT_red_2_681;ADULT_red_2_973;ADULT_red_2_832;NEONATE_red_2_777;ADULT_red_1_772;ADULT_red_2_926;ADULT_red_2_1043;NEONATE_red_2_631;NEONATE_red_1_537;ADULT_red_2_806;ADULT_red_2_752;NEONATE_red_1_526;NEONATE_red_1_673;NEONATE_red_1_780;NEONATE_red_2_655;NEONATE_red_2_853;ADULT_red_2_1023;NEONATE_red_1_581;NEONATE_red_1_626;ADULT_red_2_743;ADULT_red_2_899;NEONATE_red_2_591;ADULT_red_1_495;NEONATE_red_1_643;NEONATE_red_1_657;NEONATE_red_2_563;ADULT_red_2_877;NEONATE_red_2_590;NEONATE_red_1_665;ADULT_red_2_931;ADULT_red_1_730;ADULT_red_2_767;ADULT_red_2_737;ADULT_red_2_953;ADULT_red_2_948;NEONATE_red_1_632;ADULT_red_1_706;ADULT_red_1_778;ADULT_red_1_940;ADULT_red_2_909;ADULT_red_2_1096;NEONATE_red_1_543;NEONATE_red_1_579;ADULT_red_1_732;NEONATE_red_2_643;ADULT_red_2_913;ADULT_red_1_831;NEONATE_red_1_754;ADULT_red_1_939;ADULT_red_2_748;ADULT_red_2_1056;ADULT_red_2_1090;ADULT_red_1_745;ADULT_red_2_697;ADULT_red_1_709;ADULT_red_2_952;ADULT_red_2_1003;NEONATE_red_2_633;ADULT_red_2_905;ADULT_red_1_761;ADULT_red_1_898;ADULT_red_2_781;ADULT_red_1_651;ADULT_red_1_843;ADULT_red_1_819;NEONATE_red_2_703;NEONATE_red_2_733;ADULT_red_1_727;ADULT_red_1_805;ADULT_red_2_930;ADULT_red_2_992;ADULT_red_2_1088;ADULT_red_2_1108;ADULT_red_2_1100;NEONATE_red_1_541;ADULT_red_2_922;NEONATE_red_2_685;ADULT_red_1_798;ADULT_red_2_749;ADULT_red_2_820;ADULT_red_2_916;ADULT_red_2_796;NEONATE_red_1_684;ADULT_red_1_591;ADULT_red_1_834;ADULT_red_1_895;ADULT_red_1_932;ADULT_red_1_933;ADULT_red_1_957;ADULT_red_2_955;ADULT_red_2_1045;ADULT_red_2_1082;ADULT_red_2_967;ADULT_red_1_644;NEONATE_red_2_650;ADULT_red_2_821;NEONATE_red_2_721;ADULT_red_1_763;ADULT_red_2_881;NEONATE_red_2_848;ADULT_red_1_623;ADULT_red_1_754;ADULT_red_1_794;ADULT_red_1_856;ADULT_red_1_890;ADULT_red_1_892;ADULT_red_2_858;ADULT_red_2_1008;ADULT_red_2_1030;ADULT_red_2_1036;NEONATE_red_2_602;ADULT_red_1_636;ADULT_red_1_624;ADULT_red_1_846;NEONATE_red_2_858;ADULT_red_1_838;ADULT_red_1_938;ADULT_red_2_811;ADULT_red_2_839;ADULT_red_2_892;ADULT_red_2_968;ADULT_red_2_1034;ADULT_red_2_1035;ADULT_red_2_677;ADULT_red_2_715;ADULT_red_1_669;ADULT_red_1_670;ADULT_red_2_857;ADULT_red_1_722;ADULT_red_1_906;ADULT_red_2_911;NEONATE_red_1_738;NEONATE_red_1_784;NEONATE_red_2_827;NEONATE_red_2_881;ADULT_red_1_741;ADULT_red_1_765;ADULT_red_1_887;ADULT_red_2_897;ADULT_red_2_1066;ADULT_red_1_859;ADULT_red_2_1089;ADULT_red_2_731;ADULT_red_1_668;ADULT_red_1_674;ADULT_red_2_707;NEONATE_red_1_519;ADULT_red_1_865;ADULT_red_1_872;ADULT_red_1_901;ADULT_red_1_903;ADULT_red_1_909;ADULT_red_2_1109;ADULT_red_1_635;ADULT_red_2_976;ADULT_red_2_898;NEONATE_red_1_582;NEONATE_red_2_747;NEONATE_red_2_835;ADULT_red_2_994;ADULT_red_2_1046;ADULT_red_2_1087;ADULT_red_2_724;NEONATE_red_2_838;ADULT_red_1_931;ADULT_red_2_674;ADULT_red_1_663;ADULT_red_1_948;ADULT_red_2_1110;ADULT_red_1_799;NEONATE_red_2_735;ADULT_red_1_946;ADULT_red_2_1006;ADULT_red_2_1081;ADULT_red_1_680;ADULT_red_2_990;ADULT_red_2_1039;ADULT_red_2_1062;NEONATE_red_2_818;ADULT_red_2_982;ADULT_red_1_827;ADULT_red_2_1067;ADULT_red_1_915;ADULT_red_1_942"
"698.3505:16.7",698.3504562,16.6773625,4,1.4e+08,1.4e+08,1.4e+08,6.6e+08,6.6e+08,6.6e+08,4e+08,"-2.2",NA,""
"883.4306:15.6",883.4305954,15.57839167,4,1.9e+08,1.9e+08,1.9e+08,5.9e+08,5.8e+08,5.9e+08,3.9e+08,"-1.6",NA,""
"9983.5149:24.9",9983.514925,24.948,2,6.4e+08,2.3e+08,4.4e+08,2.5e+08,3.2e+08,2.9e+08,3.6e+08,"0.6",NA,"NEONATE_red_1_212;ADULT_red_2_229;ADULT_red_1_259;NEONATE_red_1_196;ADULT_red_1_248;NEONATE_red_1_216;NEONATE_red_1_207;NEONATE_red_1_222;NEONATE_red_2_242;ADULT_red_1_212;NEONATE_red_1_194;NEONATE_red_2_235;NEONATE_red_1_200;ADULT_red_2_226;NEONATE_red_1_195;ADULT_red_2_264;ADULT_red_1_213;NEONATE_red_1_208;NEONATE_red_2_220;ADULT_red_1_210;NEONATE_red_2_226;NEONATE_red_2_218;NEONATE_red_2_236;ADULT_red_2_260;NEONATE_red_1_191;NEONATE_red_1_189;ADULT_red_1_218;ADULT_red_2_254;ADULT_red_2_292;ADULT_red_1_209;ADULT_red_1_253;ADULT_red_2_275;NEONATE_red_2_222;ADULT_red_2_240;ADULT_red_2_246;ADULT_red_1_216;ADULT_red_1_240;ADULT_red_1_229;ADULT_red_2_557;ADULT_red_1_228;NEONATE_red_2_241;ADULT_red_1_262;ADULT_red_2_236;ADULT_red_1_224;ADULT_red_2_241;ADULT_red_2_259;ADULT_red_1_233;ADULT_red_1_208;ADULT_red_2_258;ADULT_red_2_227"
"785.3714:17.4",785.3714066,17.38983333,4,3.4e+08,3.6e+08,3.5e+08,1.7e+08,1.6e+08,1.7e+08,2.6e+08,"1.1",NA,""
"671.2919:20.5",671.2918549,20.54466667,4,2.8e+08,2.9e+08,2.9e+08,1.8e+08,1.9e+08,1.9e+08,2.4e+08,"0.6",NA,""
